# 重点筛选数据
## 基线资料
年龄	Age
性别	Sex
体重指数	Body_Mass_Index_BMI
房颤	Atrial_Fibrillation
纽约心脏病协会分级	New_York_Heart_Association_NYHA_Classification
心梗	Myocardial_Infarction_History
经皮冠状动脉介入术	Percutaneous_Coronary_Intervention_PCI_History
冠状动脉旁路移植术	Coronary_Artery_Bypass_Grafting_CABG_History
胸外科医师学会评分	Society_of_Thoracic_Surgeons_STS_Score
氨基末端B型利钠肽前体	NT_proBNP_Level_Value


## 术前影像学评估
左心室射血分数	LVEF
最大主动脉瓣跨瓣压差	Preprocedural_Aortic_Valve_Peak_PG
平均主动脉瓣跨瓣压差	Preprocedural_Aortic_Valve_Mean_PG
有效瓣口面积（主动脉瓣）	Aortic_Valve_EOA
瓣环面积（主动脉瓣）	Aortic_Valve_Annular_Area
瓣环平均直径（主动脉瓣）	Aortic_Valve_Annular_Mean_Diameter
瓣环最大直径（主动脉瓣）	Aortic_Valve_Annular_Max_Diameter
瓣环周径（主动脉瓣）	Aortic_Valve_Annular_Perimeter
主动脉瓣口流速	Aortic_Valve_Flow_Velocity
窦管交界高度	Sinotubular_Junction_STJ_Diameter_Height
窦管交界直径	Sinotubular_Junction_STJ_Diameter
窦部直径（主动脉根部）	Sinus_Of_Valsalva_Mean_Diameter
升主动脉直径	Ascending_Aorta_Diameter_At_Pulmonary_Artery_Bifurcation
瓣环钙化（主动脉瓣）	Aortic_Valve_Annular_Calcification_Volume
左心室流出道直径	Left_Ventricular_Outflow_Tract_LVOT_Diameter
左心室流出道钙化体积	Left_Ventricular_Outflow_Tract_LVOT_Calcification_Volume
左冠脉高度（主动脉根部）	Left_Coronary_Ostium_Height_From_Annulus
右冠脉高度（主动脉根部）	Right_Coronary_Ostium_Height_From_Annulus


## 手术信息
经股动脉入路	Access_Approach_Transfemoral
经心尖入路	Access_Approach_Transapical
其它入路	Access_Approach_Other
瓣膜尺寸	THV size
瓣膜类型	THV_Type
瓣膜品牌	THV_Brand_name
术后即刻主动脉瓣跨瓣压差	TAVI_R_Immediate_PostProcedural_Aortic_Valve_Mean_PG
主动脉瓣跨瓣压差≥20 mmHg	TAVI_R_Immediate_PostProcedural_Aortic_Valve_Mean_PG_gte_20
严重错位	Prosthesis_Malposition
瓣环撕裂	Annular_Rupture
术后是否即刻瓣周漏	TAVI_R_Immediate_PostProcedural_PVL_Occurred
术后即刻瓣周漏程度	TAVI_R_Immediate_PostProcedural_PVL_Severity
瓣架移位	THV_Displacement_Or_Embolization
转外科开胸手术	Conversion_To_SAVR_Required
转心肺转流术	Cardiopulmonary_Bypass_CPB_Required
瓣中瓣	Valve_In_Valve_For_Acute_Failure_Or_Malposition
围术期死亡	TAVI_R_Periprocedural_Death_In_Hospital


## 出院前评价
出院前死亡	Death_Before_Discharge
卒中	Stroke_Before_Discharge
大出血	Life_Threatening_Bleeding_Before_Discharge
急性肾衰	Acute_Kidney_Injury_AKI_Before_Discharge
严重血管并发症	Major_Vascular_Complication_Before_Discharge
心肌梗死/急性心肌梗死	Myocardial_infarction_or_Acute_myocardial_infarction_Before_Discharge
心力衰竭	Heart_failure_Before_Discharge
所有原因死亡和心血管死亡	All_cause_death_and_cardiovascular_death_Before_Discharge
起搏器植入	New_Permanent_Pacemaker_Implantation_PPMI_Before_Discharge
出院前是否瓣周漏	PVL_Detected_Before_Discharge
出院前主动脉瓣口流速	Aortic_Valve_Flow_Velocity_Before_Discharge
出院前平均主动脉瓣跨瓣压差	Aortic_Valve_Mean_PG_Before_Discharge


## 随访信息
30天全因	All_Cause_Mortality_At_30_Days
30天心梗	Myocardial_Infarction_At_30_Days
30天卒中	Stroke_At_30_Days
30天心衰再住院	Heart_Failure_Readmission_At_30_Days
1年全因	All_Cause_Mortality_At_1_Year
1年心梗	Myocardial_Infarction_At_1_Year
1年卒中	Stroke_At_1_Year
1年心衰再住院	Heart_Failure_Readmission_At_1_Year
患者是否因 ​​TAVI（经导管主动脉瓣植入术）相关并发症​​ 而接受了 ​​后续干预​​（如二次手术、补救治疗等）	Subsequent_Intervention_For_TAVI_R_Complication_Occurred
术后封堵	Occlusion_Procedure_Post_TAVI_R
术后瓣膜脱落	Valve_Dislodgement_Post_TAVI_R
术后主动脉夹层	Aortic_Dissection_Post_TAVI_R
术后血肿	Hematoma_Post_TAVI_R
